word,meaning
sunlight,"햇빛, 햇살, 일광"
preference,"선호, 선호[애호]되는 것"
investor,투자자
thumb,"엄지손가락, 엄지손가락"
spoil,"망치다, 응석받이로[버릇없게] 키우다"
litre,리터
attorney,"변호사, 대리인"
horrible,"지긋지긋한, 소름끼치는, 불쾌한"
surprisingly,"놀랄 만큼, 놀랍게도"
engagement,"약혼, 약속, 교전, 관계함"
productive,"생산[산출]하는, 결실 있는"
underwater,"물속의, 수중의"
motivation,"자극, 동기 부여"
maker,…을 만드는[생산하는] 사람[회사/기계]
combat,"전투, 싸움"
forum,"포럼, 포럼[광장]"
blade,"날, 날개깃, 풀잎"
decay,"부패, 쇠퇴[퇴락]"
sweat,"땀, 땀[식은땀/진땀]에 젖은 상태"
sequence,연속적인 사건들[행동들/숫자들 등]
harsh,"가혹한, 혹독한, 눈에 거슬리는"
March,3월
frustrate,"좌절감을 주다, 방해하다"
flesh,"살, 피부, 과육, 육체[몸]"
sponsor,스폰서[광고주/후원 업체]
alphabet,"알파벳, 자모"
technological,과학[공업] 기술의[에 관한]
deficit,"적자, 부족액"
hidden,"숨겨진, 숨은, 비밀의"
burst,"터지다, 불쑥 가다[오다/움직이다]"
descend,내려오다
depress,"우울[암울]하게 만들다, 부진하게 만들다[침체시키다"
disappoint,"실망시키다, 좌절시키다"
sceptical,회의적인
affordable,"줄 수 있는, 적당한"
orbit,"궤도, 영향권[세력권]"
motive,"동기, 이유"
cue,"신호, 신호[큐], 큐[채]"
concrete,"콘크리트로 된, 사실에 의거한"
inspiration,"영감, 영감[자극]을 주는 사람[것]"
disgust,"혐오감, 역겨움, 넌더리"
crisp,"바삭바삭한, 아삭아삭한, 상쾌한"
reproduce,"복사[복제]하다, 다시 만들어 내다"
hypothesis,"가설, 추정"
stem,"줄기, 손잡이 부분, 담배설대"
commodity,"상품, 것"
grip,"꽉 붙잡음, 통제, 이해"
insult,"모욕하다, 욕보이다"
dynamic,"역학, 동력학, 원동력"
compromise,"타협[절충], 절충해서 나온 것[중간물]"
tender,"상냥한, 연한, 연약한"
twist,"휘다[구부리다], 비틀다"
clip,클립[핀]으로 고정하다[고정되다]
reverse,"뒤바꾸다, 뒤집다, 뒤집다[뒤바꾸다/거꾸로 하다]"
filter,"필터,여과 장치"
versus,…에 비해[…와 대조적으로]
dominant,"우세한, 우성"
economics,"경제학, 자본 환경[조건]"
racial,"인종[민족]간의, 인종[민족]의"
inevitable,"불가피한, 반드시 있는"
harmless,"해가 없는, 악의 없는"
breed,"새끼를 낳다, 사육하다[재배하다]"
isolated,"외떨어진, 고립된, 단 하나[한 번]의"
transition,"변천, 과도기, 변화, 변이"
