word,meaning
makeup,"메이크업, 화장, 조립, 조판"
northwest,"북서, 캐나다 북서부, 캐나다 북서지방, 북서의"
pitcher,"피처, 던지는 사람, 던져 싣는 사람, 짚 따위를 짐차에 던져 싣는 사람"
rumor,"소문, 이야기, 소음, 소문을 내다"
freshman,"신입생, 초년생"
sidewalk,"보도, 인도"
sodium,나트륨
shuttle,"우주선, 북, 정기 왕복 버스, 정기 왕복 열치"
doorway,"출입구, 문간"
broker,"브로커, 중개업자, 고물상, 중상"
dynamics,"역학, 강약법, 변천의 형, 발달의 형"
barn,"헛간, 반, 전차, 전버스"
rack,"고문, 그물 선반, 상자 선반, 파괴"
bankruptcy,"파산, 들판"
haul,"세게 끌기, 한 그물, 한 그물의 어획, 세게 끌다"
cab,"택시, 자습서, 기관사실"
aluminum,"알류미늄, 알류미늄의"
bureau,"국, 사무국, 서랍 달린 큰 책상, 개폐식의 서랍 달린 큰 책상"
scramble,"스크램블, 기어 오르기, 쟁탈전, 쟁탈"
shove,"지지, 밀치다, 한 번 떼밀기, 밀다"
damn,"조금도, 욕설, 욕설이라는 말, 욕설이라는 말을 하기"
frontier,"국경 지방, 변경, 미개 척의 영역"
banker,"은행가, 물주, 시궁창 파는 인부, 작업대"
colorful,"화려한, 색채가 풍부한"
thanksgiving,하느님에 대한 감사
aisle,"통로, 측면의 복도, 측랑이 있는"
legislator,법률제정자
theological,"신학의, 신학상의, 성경에 입각한"
mutter,"속삭임, 속삭이다"
ridge,"산등성이, 산마루, 둥, 재"
straighten,"바르게 되다, 펴지다, 똑바르게, 정돈하다"
fog,"안개, 흐림, 혼미, 두번째 풀"
spit,"침, 거품, 침뱉기, 꼭 닮은 것"
pistol,"권총, 권총으로 쏘다"
recreation,"휴양, 개조, 개조물"
exclaim,외치다
non,"자유로이 명사에 붙여의 뜻, 자유로이 형용사에 붙여의 뜻, 자유로이 부사에 붙여의 뜻, 비의 뜻"
commentator,"시사 해설자, 주석자"
endeavour,"노력, 역행, 시도하다, 노력하다"
remainder,"나머지, 유적, 남은 것, 여수"
architectural,"건출술의, 건출술학의"
tenure,"보유, 신분보장, 신분보장권"
commence,"개시하다, 시작되다, 학위를 받다"
reconstruction,재건
overturn,"전복, 뒤집어 엎다, 뒤엎다, 전복하다"
atrocity,"포악, 잔학한 행위, 극악무도"
tenant,"거주자, 입주자, 차용자, 소작농"
substitution,"치환, 대리"
councillor,"평의원, 의원, 참사관, 고문관"
embark,"태우다, 투자하다, 배에 타다, 비행기에 타다"
duration,"지속, 계속기간, 존속기간"
respective,각각의
firework,"불꽃, 흥분, 대공포화, 기지의 번득임"
enquire,"묻다, 문의하다, 질문하다, 알아보다"
nervously,긴장하게
superb,"훌륭한, 당당한"
aluminium,"알류미늄, 알류미늄의"
empirical,"경험적인, 경험주의의"
guerrilla,"비정규병의, 비정규병"
forthcoming,"출현, 준비된, 곧 올, 곧닥쳐 올"
fifteenth,"제 십오, 열 다섯분의, 열 다섯도, 열 다섯도 음정"
marathon,"마라톤, 마라톤 경주, 마라톤의, 장시간에 이르는"
assertion,역설
asylum,"보호 시설, 피난, 도피처, 피신처"
referee,"위임받은 사람, 위탁받은 사람, 어떤 일을 위임받은 사람, 어떤 일을 위탁받은 사람"
sketch,"스케치, 초고, 환, 약화"
prescribe,"명령하다, 처방하다, 지시하다, 약 따위를 처방하다"
extensively,널리
stabilize,"안정시키다, 안정되다"
selective,"선택하는, 선택적인, 선택의, 도태의"
classification,"분류, 분류법, 분별, 등급별"
consultation,"상의, 참고, 전문가의 회의"
correction,"보정, 정정, 교정, 정오"
congratulate,축하하다
idiot,"백치, 천치"
enthusiastically,열정적으로
predecessor,"전임자, 전임"
preside,"의장이 되다, 우두머리가 되다"
astonishing,놀라운
cheerfully,"명랑하게, 쾌활하게"
registration,"기재, 맞춰 짜기, 등록된 사람들, 등록된 선거인"
choir,"성가대, 성가대석, 노래하는 새떼, 합창하다"
canal,"운하, 도관, 운하의, 도관의"
oblige,"...에게 할 수 없이 ...하게 하다, 남에게 ...하지 않을 수 없게 하다, ...하지 않을 수 없게 하다, ...에게 은혜를 베풀다"
proposition,"제안, 명제, 사업, 유혹"
succession,"계승, 연속, 상속, 연속물"
successive,연속하는
propaganda,"선전, 포교, 선전 단체"
noisily,시끄럽게
amend,"고치다, 수정하다, 고쳐지다"
landlord,"주인, 지주, 가장, 여관 따위의 주인"
restraint,"제지, 출항금지, 입항금지, 선박의 출항금지"
surgical,"외과술의, 외과의"
beloved,"가장 사랑하는, 소중한, 귀여운, 사랑받아"
suspension,"현탁, 부유, 매다는 지주, 약어"
badge,"배지, 기장, 기장을 달다, 견장을 달다"
supervise,"감독하다, 지시하다, 지휘하다, 관리하다"
allowance,"수당, 허용, 공제, 허용오차"
stiffly,뻣뻣하게
copyright,저작권
supervision,감독
deficiency,"부족, 부족액, 부족분, 부족량"
disposal,"처분, 처분의"
eighteenth,"십팔, 열 여덟, 십팔 세의"
faction,"당파, 당쟁, 실록 소설"
apparatus,"기구, 기관, 조직"
directory,"예배 규칙서, 주소성명록, 지도자의 직, 집정부"
synthesis,"합성, 종합, 합, 접골"
massacre,"대학살, 완패, 경기 따위의 완패, 헐뜯다"
applicant,"응모자, 원인"
reside,"살다, 존재하다, 성질이 존재하다, 주차하다"
conserve,"설탕 절임, 보존하다"
adjacent,이웃의
gravely,자갈의
magistrate,"수령, 행정장관, 사법권이 있는 행정장관, 치안판사"
notify,"통보하다, 정식으로 통지하다, 정식으로 통보하다"
devise,"유증, 부동산 유증, 궁리하다, 고안하다"
graphic,"도화의, 도표의, 문자로 쓰는"
formulate,"공식화하다, 공식으로 나타내다"
optical,"눈의, 광학의, 광학상의"
dual,"둘의, 이중의, 양수의"
divert,"...을 ...으로 전환하다, 다른 대상을 향하게 하다, 기분 전환을 시키다"
denounce,"비난하다, 종결을 통고하다, 매도하다"
contention,"투쟁, 말다툼, 논쟁점"
generously,아낌없이
anxiously,"근심하여, 걱정하여"
applaud,"박수 갈채하다, 칭찬하다, ...에게 박수 갈채하다"
firefighter,소방수
inadequate,부적당한
firearm,소화기
forge,"단조 공장, 노, 다듬는 곳, 연마하는 곳"
provincial,"지방민, 지방 분구 관장, 지방 분구 주교, 지방인"
disastrous,비참한
fixture,"고정물, 정착물, 대회, 부동산 정착물"
editorial,"사설, 편집장의, 주필의, 편집의"
realization,"실현, 현금화, 결실, 정말이라고 생각함"
marginal,"가장자리 가의, 가장자리의, 가장자리 끝의, 한계의"
notable,"주목할 만한, 유명한, 명사"
inclusion,포함
descent,"하강, 강하, 가계, 세습"
linear,"선의, 일차의, 실 모양의"
formally,정식으로
defect,"결함, 결손, 결점, 구멍"
junction,"접합, 연결, 교차점, 접합점"
rebellion,"반항, 모반, 권력에 대한 반항"
Prof,교수
crave,"간청하다, 열망하다, 갈망하다, 필요로 하다"
rock'n'roll,로큰롤
berry,"말린 씨앗, 알, 장과, 딸기류의 열매"
illiterate,읽고 쓸 줄 모르는
inhabit,...에 살다
shorten,"줄이다, 짧게 하다, 짧아 보이게 하다, 깎다"
uncommon,"드문, 보통 아닌, 희유"
birthplace,출생지
advertiser,"신문, 광고자, 광고자주"
disbelief,불신
captivity,"포로, 바빌론 포로, 포로의 신세, 포로의 기간"
sleepy,"졸리는, 잠자는 듯한, 너무 익어 속이 썩기 시작한, 졸음이 오는 듯한"
squash,"스쿼시, 애호박, 찌그러진 물건, 철썩"
inclusive,"포함한, 모든 것을 포함한, 모든 것을 넣은, 계산에 넣어서"
compatible,"양립할 수 있는, 흑백 수상기에 흑백으로 수상할 수 있는 겸용식의"
childish,"어린애 같은, 어린이 같은, 어른이 같은"
fertile,"다산인, 비옥한, 창조력이 풍부한, 번식력이 있는"
temporal,"일시적인, 시간의, 현세의, 때를 나타내는"
coronation,"대관식, 즉위식, 대관"
metropolis,"중심지, 수도, 종속 중심지, 도"
multitude,다수
sports,"스포츠의, 스포츠용의, 스포츠에 적합한, 운동경기"
stubborn,"완고한, 단단한, 다루기 어려운, 완강한"
aeroplane,비행기
dogma,"교조, 정설, 독단적 주장, 독단적 견해"
decree,"법령, 명령, 신의, 법원의 명령"
benevolent,"자애로운, 유순한, 호의적인, 자선적인"
despise,"경멸하다, 모멸하다, 업신여기다"
colossal,"거대한, 훌륭한, 터무니없는"
detector,"탐지기, 검파기, 발견자"
Jean,"진 피륙, 여자 이름, 진 천으로 만든 바지"
shelve,"선반에 얹다, 선반에 두다, 보류하다, 해고하다"
junk,"정크, 못 쓸 것"
energetic,정력적인
cucumber,오이
cyclist,자전거 타는 사람
pyramid,"피라미드, 각뿔, 피라미드형의 것, 피라미드형으로 하다"
migrate,"이주하다, 회유하다"
organiser,조직자
curry,"카레, 카레요리, 카레요리로 하다, 빗질하다"
compliment,"경의, 경의의 표시, 의례적인 인사말, 경의를 표하다"
understandable,이해할 수 있는
lettuce,상추
microscope,"현미경, 현미경 별자리"
pod,"작은 무리, 완두콩 따위의 깍지, 물개 따위의 작은 무리, 새 따위의 작은 무리"
serene,"고요한, 맑게 갠, 침착한, 고귀하신"
immunity,면제
outcry,"항의, 외침, 경매, 목소리가 ...보다 크다"
twig,"작은 가지, 점대, 감지하다"
protector,"보호자, 보호하는 것, 방어물"
erase,"지우다, 문질러 지우다, 지워 버리다, 죽이다"
chorus,"합창, 합창곡, 합창대, 일제히 내는 소리"
Deity,신
dread,"공포, 무서운 사람, 무서운 물건"
wasteful,"낭비적인, 허비의, 황폐시키는"
unequal,"같지 않은, 감당 못하는, 비등하지 않은, 부동한"
mimic,"흉내를 잘 내는, 모방자, 흉내내다"
marvellous,"기이, 놀랄 만한"
graph,"그래프, 그래프로 나타내다"
individually,개별적으로
digestive,"소화를 돕는, 침지의"
crumble,"부스러뜨리다, 산산이 무너지다, 힘 없이 무너지다"
gloom,"어둠, 어두운 곳, 어두운 나무 그늘, 유명"
bedside,"머리맡, 침대, 침대결, 환자의 머리맡"
anytime,언제든지
agony,"고뇌, 격발, 심한 고통, 감정의 격발"
confidential,"심복의, 기밀의, 속 이야기를 터놓는"
Buddhism,"불교, 불법"
intently,골똘하게
adversity,"역경, 불행, 기구"
tolerant,"관대한, 내성이 있는"
oppression,"압박, 고난, 우울"
barbarian,"야만인, 미개인, 이방인, 미개인의"
accustomed,"익숙한, ...에 익숙한"
cigar,"시가, 여송연, 엽궐련"
circumference,"둘레, 원주, 주변, 경계선"
blissful,더없이 행복한
festive,축제의
disperse,"흩뜨리다, 흩어지게 하다, 흩어지다, 방산하다"
swap,"교환, 교환하다, 교역하다"
lifeboat,"구명정, 구명 보트"
inflection,"굴절, 굽음, 음성의 조절"
oratory,"웅변, 기도원"
permeate,"...에 스며들다, 침투하다"
tonic,"토닉, 강장제, 주음, 토닉 워터"
constructive,"건설적인, 구조적인, 해석에 의한, 작도의"
crunch,"결정적 시기, 우두둑우두둑 부서지는 소리, 오독오독 깨물다, 아삭아삭 깨물다"
destiny,"운명, 명수, 하늘의 뜻"
corpse,"시체, 시신, 송장"
plight,"상태, 맹세, 보통 나쁜 상태, 맹세하다"
reconstruct,"재건하다, 부흥하다"
mistrust,"불신, 불신용, 신용하지 않다, 추측하다"
opus,작
arch,"아치, 으뜸의 뜻, 우두머리의 뜻, 제일의 뜻"
flimsy,"얇은, 박약한, 보잘것없는, 얇은 종이"
rust,"녹, 녹병균, 금속의 녹, 녹슬다"
nickel,"니켈, 백동화, 백통, 니켈의"
handicraft,"손재주, 수세공"
uneasy,"불안한, 거북한, 어색한"
endanger,위험에 빠뜨리다
ancestral,조상의
beverage,마실 것
