word,meaning
benefit,"혜택, 수당[보조금], 특전[수당]"
movement,"움직임, 이동, 운동"
including,…을 포함하여
quality,"질, 우수함, 자질, 특성"
yourself,"당신 자신, 직접, 너"
similar,"비슷한, 유사한, 닮은"
anyone,"누구, 누구나, 중요한[대단한] 인물"
offer,"제의[제안]하다, 내놓다[제공하다]"
organisation,"조직, 준비, 구조, 조직적임"
voice,"목소리, 발언권, 목소리"
TV,텔레비전
worry,"걱정하다, 걱정[불안]하게 만들다"
rule,"규칙, 원칙[규칙], 원칙[습관]"
improve,"개선되다, 나아지다, 개선하다"
particularly,"특히, 특별히"
indeed,"정말[확실히], 정말[참으로]"
effort,"수고, 노력, 활동, 결과"
per,"1개[1인]당, 각각, 제각기"
material,"직물, 재료, 자료, 소재"
check,"살피다[점검하다], 알아보다[확인하다]"
accept,"받아들이다, 받아 주다[수락하다]"
author,"작가,저자,입안자"
simply,"그냥 , 그야말로[정말로/그냥]"
third,"셋째의, 세개의"
simple,"간단한, 단순한, 순전한[단순한]"
brain,"뇌, 골, 머리, 우수한 두뇌의 소유자"
relate,"관련[결부]시키다, …에 대하여 이야기하다[들려주다"
item,"항목[사항], 물품[품목]"
expert,전문가
design,"디자인, 설계도, 무늬"
memory,"기억, 기억[추억/회상]"
serious,"심각한, 진지한[심각한]"
physical,"육체[신체]의, 물질의, 자연법칙상의"
instead,대신에
scientist,과학자
pressure,"압박, 압력, 기압"
medical,"의학[의료]의, 내과의"
affect,"영향을 미치다, 발생하다[침범하다], 충격을 주다"
response,"대답, 반응, 응창"
player,"참가자[선수], 회사[개인]"
member,"구성원[일원], 회원, 팔[다리]"
development,"발달, 개발, 새로이 전개된 사건[국면]"
modern,"현대의,근대의,현대적인"
adult,"성인, 다 자란 동물"
university,대학
decade,십년
nature,"자연, 천성, 본질, 종류"
several,각각[각자]의
factor,"요인, 인수, 양[비율]"
choice,"선택, 선택권, 선택 가능한 수[범위]"
raise,"올림, 높게 한[높아진] 곳"
character,"성격, 특징, 기개, 개성"
discover,"발견하다, 찾다[알아내다]"
protect,"보호하다, 보호하다, 보장하다"
positive,긍정적인
teacher,"교사, 선생"
treat,"특별한 것[선물], 대접"
leader,"지도자, 선두[선도자]"
huge,"막대한[엄청난], 크게[엄청] 성공한"
stuff,"것[것들], 일[것], 가장 중요한 요소[것]"
ten,"10의, 10개[사람]의"
machine,"기계, 기구"
success,"성공, 성공한 사람[것]"
traditional,"전통의, 전통[인습]적인"
building,"건물, 건축"
fear,"공포, 두려움, 무서움"
inside,…의 안[속/내부]에[으로]
education,"교육, 교육[지도/훈련]"
opportunity,기회
source,"원천, 자료[, 근원"
conversation,"대화, 회화"
compare,"비교하다, 필적하다[비교가 되다]"
position,"위치, 자리, 자세"
current,"현재의, 통용되는"
generation,"세대, 세대[대], 사람들"
imagine,"상상하다, 상상하다[믿다]"
image,"이미지[인상], 영상[상/심상]"
knowledge,"지식, 알고 있음"
rate,"속도, 비율, 요금, 지방세"
save,"구하다, 모으다, 남겨 두다[아끼다]"
general,"일반[보편/전반]적인, 보통의"
college,"칼리지, 대학, 대학[칼리지]"
refer,…의 탓[덕]으로 여기다
official,"공무[직무]상의, 공식적인"
myself,나 스스로
challenge,"도전[시험대], 도전[저항]"
available,구할[이용할] 수 있는
main,"가장 큰[중요한], 주된"
clear,"알아듣기[보기] 쉬운, 확실한"
individual,"각각[개개]의, 개인의, 개성 있는"
economic,"경제의, 경제성이 있는"
message,"전갈[메시지/성명], 메시지[메일/문자]"
outside,"겉, 바깥쪽, 밖[바깥]"
cell,"감방, 수도실, 세포, 칸"
impact,"영향, 충돌"
theory,"이론, 학설[이론], 의견[생각]"
concern,영향을 미치다[관련되다]
somebody,"어떤 사람, 누군가"
skin,"피부, 가죽, 껍질, 더껑이"
completely,"완전히, 전적으로"
manage,"간신히[용케] 해내다, 살아 나가다[지내다]"
tend,"경향이 있다, 동향[성향]을 보이다"
exist,"존재[실재/현존]하다, 살아가다"
detail,"세부 사항[세목], 세부 사항들"
discussion,"논의, 논한 것"
remain,"나머지, 잔존자, 유해, 유적"
notice,"신경씀, 공고문[안내문]"
nearly,거의
career,"직업, 사회생활"
contain,…이 들어[함유되어] 있다
election,"선거, 당선"
measure,"측정하다, …이다, 판단"
avoid,"방지하다, 피하다"
scene,"현장, 장면[광경/상황]"
global,"세계적인, 전반, 전세계의"
despite,"…에도 불구하고, 자기도 모르게[엉겁결에]"
vote,"표, 투표, 총 투표수"
charge,"요금, 기소, 비난, 책임"
media,매체[미디어/대중 매체]
wife,"아내, 처, 부인"
truth,"사실, 사실성, 진리"
nation,"국가, 국민"
economy,"경기, 국가, 절약"
achieve,"달성하다, 해내다[이루다"
thought,"생각, 사고, 심사숙고"
successful,성공한
everybody,"누구든지, 사람마다"
international,국제적인
fan,"팬, 선풍기, 부채"
alone,"혼자, 혼자 , 외로운, …혼자[자신]"
suffer,"시달리다, 겪다[당하다]"
perform,행하다[수행하다/실시하다]
normal,"보통의, 정상인"
attitude,"태도[자세], 반항적인[고집스런] 태도"
task,"일, 과업"
opinion,"의견[견해/생각], 의견[견해/여론]"
expression,"표현, 표정, 표현 , 감정 표현"
learning,"학습, 학식"
surface,"표면[표층], 작업대"
goal,"골문, 골, 목표"
Average,"평균의, 보통의, 평범한"
artist,"화가, 예술가, 아티스트"
survey,"조사, 측량, 점검, 조망"
serve,"제공하다, 돌아가다, 시중을 들다["
argue,"언쟁을 하다, 주장하다"
politics,"정치, 정치[정치적인 문제들]"
easily,"쉽게, 아마 틀림없이, 분명히[의심할 여지없이] 최고의"
object,"물건, 욕망, 목적, 목적어"
internet,인터넷
customer,"손님, 사람"
claim,"주장하다, 요구[요청]하다"
encourage,"격려[고무]하다, 권장[장려]하다"
anyway,"게다가, 그래도, 그런데"
consumer,소비자
born,"태어나다, 생기다, … 태생[출신]의"
absolutely,"전적으로, 전혀, 극도로"
patient,"환자, 환자[고객], 피동작주"
