word,meaning
keen,"간절히 …하고 싶은, 열정적인[열렬한]"
athlete,"선수, 육상 경기 선수, 운동을 잘 하는 사람"
pet,"애완동물, 총애를 받는 사람"
psychology,"심리학, 심리 작용[작전]"
everyday,"일상적인, 매일의"
chef,"요리사, 쉐프"
section,"부분, 부문, 구획"
agreement,"협정, 동의, 승낙, 일치"
behave,"처신[행동]하다, 예의 바르게 행동하다"
badly,"몹시[너무], 심하게[몹시]"
guard,"경비[감시/수비] 요원, 경호원단"
delay,"지연, 미룸"
mask,"마스크[복면], 가면[탈]"
relation,"관계, 관계[관련, 친척"
ban,금(지)하다
upset,"속상하게 만들다[하다], 잘못되게[틀어지게] 만들다"
consume,"소모하다, 먹다, 사로잡다[휩싸다]"
territory,"지역, 영역, 구역"
evolution,"진화, 발전[진전]"
wow,와우
demonstrate,증거[실례]를 들어가며 보여주다
evening,"저녁, 밤, 야간"
insect,곤충
evolve,발달[진전]하다[시키다]
joint,"관절, 연결 부위, 구운 고기"
hey,"어이[이 봐], 에이, 응[네]"
poverty,"가난, 부족[빈곤]"
chief,"주된, 최고위자인, 최고"
laughter,"웃음, 웃기, 웃음소리"
budget,"예산, 예산"
efficient,"능률적인, 유능한, 효율적인"
edition,"판, 호[회]"
tap,"톡톡 두드리다[치다], 박자를 맞추다"
sample,"표본, 샘플, 샘플[견본품]"
charity,"자선[구호] 단체, 너그러움"
folk,"사람들, 여러분, 가족"
critic,비평가
shortly,"얼마 안 되어, 곧, 퉁명스럽게"
injury,"부상, 상처[피해]"
embrace,"포옹, 성교, 받아들임"
era,시대
pop,"팝, 아빠, 펑[빵], 탄산수"
incredible,"믿을 수 없는, 믿어지지 않을 정도인"
involved,"관여하는, 열심인, 가까운 사이인[관계에 있는]"
construction,"건설, 건축 양식, 건축[구조]물"
biological,"생물학의, 생물체의, 효소를 함유한"
management,"경영[운영/관리], 경영[운영/관리]진"
manufacturer,"제조자[사], 생산 회사"
victory,승리
happiness,"행복, 만족, 기쁨"
lung,"폐, 허파"
founder,"창립자, 설립자"
intelligent,"총명한, 지능이 있는"
mechanism,"기계 장치[기구], 방법"
otherwise,그렇지 않으면[않았다면]
virtual,"사실상의, 가상의"
declare,"선언[선포/공표]하다, 언명하다"
domestic,"국내의, 가정, 가정적인"
artificial,"인공의, 인위적인, 거짓된"
additional,추가의
ensure,반드시 …하게[이게] 하다
testing,"아주 힘든, 힘겨운"
path,"길, 길[방향], 계획"
rid,"없애다, 면하다, 구(救)하다"
educational,"교육의, 교육적인"
differently,"다르게, 따로"
enemy,"적, 적, 장애물"
peer,"또래[동배], 귀족"
enhance,높이다[향상시키다]
southern,남쪽[남부]에 위치한
magic,"마법, 마술, 마력"
youth,"어린 시절, 젊음, 젊은이"
fee,"수수료, 요금[회비/가입비 등]"
disorder,"엉망, 난동[무질서], 장애[이상]"
recall,"기억해 내다, 생각나게 하다"
harm,"해, 피해, 손해"
helpful,"도움이 되는, 기꺼이 돕는"
uncomfortable,"불편한, 불편한[거북한]"
